image,utc,latitude,longitude,altitude_m,satellites,hdop,speed_kmph,course_deg,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,total_acc_g,stable,level,jpeg_bytes,capture_ms
IMG_000001.JPG,2026-07-16T13:25:56Z,42.6399110,77.0738235,1616.80,5,1.82,0.037,0.00,4.403,1.848,3.021,0.895,-0.367,1.0394,1,1,75153,275
IMG_000002.JPG,2026-07-16T13:25:57Z,42.6399098,77.0738237,1616.80,5,1.82,0.111,0.00,3.682,1.720,1.121,5.689,-6.215,1.0420,1,1,75048,275
IMG_000003.JPG,2026-07-16T13:25:58Z,42.6399092,77.0738230,1617.00,5,1.82,0.370,0.00,2.739,1.165,-1.628,6.483,-9.879,1.0392,0,1,73732,274
IMG_000004.JPG,2026-07-16T13:26:00Z,42.6399065,77.0738233,1616.90,5,1.82,0.815,0.00,2.345,1.311,-1.605,1.392,-10.123,1.0421,0,1,73504,262
IMG_000005.JPG,2026-07-16T13:26:01Z,42.6399040,77.0738222,1616.90,5,1.82,1.037,0.00,2.453,0.835,-0.269,0.659,-6.490,1.0576,1,1,73604,262
IMG_000006.JPG,2026-07-16T13:26:02Z,42.6399002,77.0738203,1616.90,5,1.82,1.593,0.00,2.959,0.390,-0.147,-3.242,-5.322,1.0755,0,1,73798,268
IMG_000007.JPG,2026-07-16T13:26:03Z,42.6398977,77.0738183,1616.80,5,1.82,1.074,0.00,3.903,0.963,3.334,-1.440,-4.344,1.0517,0,1,73358,265
IMG_000008.JPG,2026-07-16T13:26:04Z,42.6398967,77.0738120,1616.70,5,1.82,1.685,0.00,1.696,1.577,-4.643,1.186,-3.222,1.0368,0,1,74422,283
IMG_000009.JPG,2026-07-16T13:26:05Z,42.6398953,77.0738055,1616.70,5,1.82,1.667,0.00,2.712,1.486,4.258,3.934,-4.841,1.0349,1,1,73472,265
IMG_000010.JPG,2026-07-16T13:26:07Z,42.6398880,77.0737998,1616.70,5,1.82,1.611,0.00,2.406,1.573,-6.246,2.720,-1.115,1.0341,0,1,74031,276
IMG_000011.JPG,2026-07-16T13:26:08Z,42.6398857,77.0737975,1616.70,5,1.82,1.352,0.00,2.898,1.008,0.372,-2.959,-0.772,1.0483,1,1,70801,268
IMG_000012.JPG,2026-07-16T13:26:09Z,42.6398837,77.0737915,1616.70,5,1.82,1.741,0.00,5.080,0.637,-5.734,0.521,-1.474,1.0469,0,1,70698,258
IMG_000013.JPG,2026-07-16T13:26:46Z,42.6399365,77.0738192,1614.10,5,1.82,0.148,0.00,3.852,0.330,-1.292,-12.860,4.680,1.0777,0,1,74419,286
IMG_000014.JPG,2026-07-16T13:26:47Z,42.6399365,77.0738180,1614.30,5,1.82,0.296,0.00,3.977,1.988,-1.826,-6.845,-6.091,1.0534,0,1,73130,267
IMG_000015.JPG,2026-07-16T13:26:48Z,42.6399327,77.0738197,1614.30,5,1.82,0.407,0.00,3.431,0.851,-1.322,7.430,-10.587,1.0195,0,1,74244,280
IMG_000016.JPG,2026-07-16T13:26:49Z,42.6399263,77.0738235,1614.30,5,1.82,0.889,0.00,3.215,1.082,-2.956,-7.257,-6.671,1.0085,0,1,74318,283
IMG_000017.JPG,2026-07-16T13:26:51Z,42.6399178,77.0738227,1614.30,5,1.82,1.408,0.00,2.204,1.913,-4.337,3.895,-2.045,1.0222,0,1,74332,281
IMG_000018.JPG,2026-07-16T13:26:52Z,42.6399113,77.0738217,1614.30,5,1.82,1.963,0.00,3.492,0.911,0.525,5.124,-2.893,1.0302,1,1,74145,279
IMG_000019.JPG,2026-07-16T13:26:53Z,42.6399073,77.0738183,1614.30,5,1.82,1.704,0.00,3.788,0.622,-2.124,-5.196,-3.068,1.0712,0,1,74294,281
IMG_000020.JPG,2026-07-16T13:26:54Z,42.6399048,77.0738133,1614.30,5,1.82,2.000,0.00,2.794,2.172,-3.063,-3.341,0.375,1.0367,1,1,73796,271
IMG_000021.JPG,2026-07-16T13:26:55Z,42.6399002,77.0738092,1614.30,5,1.82,1.815,0.00,3.079,1.911,1.403,-5.272,-2.045,1.0386,1,1,74281,275
IMG_000022.JPG,2026-07-16T13:26:57Z,42.6398920,77.0738035,1614.40,5,1.82,1.889,0.00,3.488,1.800,4.243,-2.112,-2.061,1.0411,1,1,73703,269
IMG_000023.JPG,2026-07-16T13:26:58Z,42.6398877,77.0738000,1614.40,5,1.82,1.889,0.00,3.563,1.765,-0.086,0.873,-1.450,1.0357,1,1,71965,269
IMG_000024.JPG,2026-07-16T13:26:59Z,42.6398840,77.0737972,1614.40,5,1.82,1.833,0.00,3.389,1.503,-3.353,1.521,-1.916,1.0284,1,1,71008,269
IMG_000025.JPG,2026-07-16T13:27:00Z,42.6398827,77.0737907,1614.40,5,1.82,1.519,0.00,5.040,1.145,-2.841,0.987,0.138,1.0554,0,1,69934,267
IMG_000026.JPG,2026-07-16T13:27:01Z,42.6398825,77.0737793,1614.30,5,1.82,1.630,0.00,3.539,2.059,-5.315,5.018,-0.267,1.0114,0,1,69687,259
IMG_000027.JPG,2026-07-16T13:27:02Z,42.6398832,77.0737715,1614.30,5,1.82,1.741,0.00,4.845,1.091,1.449,1.308,0.878,1.0566,1,1,69849,260
IMG_000028.JPG,2026-07-16T13:27:04Z,42.6398790,77.0737607,1614.20,5,1.82,1.315,0.00,4.287,1.521,8.815,-3.364,2.115,1.0541,0,1,69922,268
IMG_000029.JPG,2026-07-16T13:27:05Z,42.6398793,77.0737545,1614.20,5,1.82,1.445,0.00,3.765,1.579,-6.666,5.781,3.962,1.0392,0,1,70340,270
IMG_000030.JPG,2026-07-16T13:27:06Z,42.6398792,77.0737508,1614.10,5,1.82,1.222,0.00,5.837,0.840,3.113,3.124,2.413,1.0639,0,1,72083,270
IMG_000031.JPG,2026-07-16T13:27:07Z,42.6398803,77.0737440,1614.10,5,1.82,3.000,0.00,4.393,1.636,7.014,-3.356,4.359,1.0721,0,1,72078,262
IMG_000032.JPG,2026-07-16T13:27:08Z,42.6398747,77.0737447,1614.10,5,1.82,0.611,0.00,4.318,1.293,1.914,1.499,4.917,1.0505,1,1,72228,265
IMG_000033.JPG,2026-07-16T13:27:10Z,42.6398660,77.0737515,1614.10,5,1.82,1.333,0.00,3.990,1.988,1.609,7.300,4.023,1.0220,0,1,71121,272
IMG_000034.JPG,2026-07-16T13:27:11Z,42.6398578,77.0737568,1614.10,5,1.82,1.704,0.00,1.623,2.210,-6.902,0.193,4.863,1.0470,0,1,69992,270
IMG_000035.JPG,2026-07-16T13:27:12Z,42.6398550,77.0737562,1614.10,5,1.82,1.352,0.00,3.434,0.980,2.716,-1.334,-2.679,1.0098,1,1,73237,272
IMG_000036.JPG,2026-07-16T13:27:13Z,42.6398488,77.0737585,1614.10,5,1.82,3.204,0.00,4.115,1.211,-1.795,3.903,-1.503,1.0238,1,1,73959,275
IMG_000037.JPG,2026-07-16T13:27:15Z,42.6398428,77.0737517,1614.10,5,1.82,2.556,0.00,3.808,0.631,-4.994,-2.188,-2.473,1.0332,1,1,77219,280
IMG_000038.JPG,2026-07-16T13:27:16Z,42.6398313,77.0737553,1614.10,5,1.82,2.852,0.00,4.689,0.937,-7.643,-0.463,-2.389,1.0250,0,1,77712,278
IMG_000039.JPG,2026-07-16T13:27:17Z,42.6398200,77.0737617,1614.10,5,1.82,3.297,0.00,3.312,1.156,5.693,-3.250,-3.633,1.0642,1,1,80980,305
IMG_000040.JPG,2026-07-16T13:27:18Z,42.6398185,77.0737605,1614.10,5,1.82,1.593,0.00,4.297,0.741,1.350,-4.127,-3.740,1.0323,0,1,81640,299
IMG_000041.JPG,2026-07-16T13:27:19Z,42.6398193,77.0737548,1614.10,5,1.82,2.222,0.00,3.801,1.528,-2.170,-1.723,0.344,1.0440,1,1,91175,348
IMG_000042.JPG,2026-07-16T13:27:21Z,42.6398108,77.0737433,1614.00,5,1.82,1.759,0.00,2.106,2.246,-3.192,2.399,2.001,1.0517,1,1,88729,325
IMG_000043.JPG,2026-07-16T13:27:22Z,42.6398095,77.0737345,1614.00,5,1.81,1.593,0.00,3.035,2.034,-0.681,-2.150,1.840,1.0555,1,1,89017,327
IMG_000044.JPG,2026-07-16T13:27:23Z,42.6398120,77.0737220,1614.00,5,1.81,2.611,0.00,5.759,0.611,0.205,-3.372,-1.770,1.0447,0,1,88781,327
IMG_000045.JPG,2026-07-16T13:30:56Z,42.6398965,77.0738185,1616.10,7,1.28,0.130,309.82,-0.045,1.035,2.235,5.972,2.440,1.0352,0,1,72726,275
IMG_000046.JPG,2026-07-16T13:30:57Z,42.6398972,77.0738193,1615.70,7,1.28,0.148,309.82,-0.851,-3.479,0.518,-2.998,-5.697,1.0649,0,1,72992,275
IMG_000047.JPG,2026-07-16T13:30:58Z,42.6398965,77.0738190,1615.70,7,1.28,0.537,309.82,-1.004,-3.525,1.067,0.483,-10.575,1.0642,0,1,73865,286
IMG_000048.JPG,2026-07-16T13:30:59Z,42.6398953,77.0738192,1615.70,7,1.28,0.500,309.82,0.135,-3.070,-1.345,-9.028,-10.972,1.0755,0,1,73657,269
IMG_000049.JPG,2026-07-16T13:31:01Z,42.6398912,77.0738190,1615.60,7,1.28,1.333,309.82,-1.127,-2.443,9.281,-9.479,-11.278,1.1169,0,1,72918,267
IMG_000050.JPG,2026-07-16T13:31:02Z,42.6398883,77.0738192,1615.30,7,1.28,1.204,309.82,2.658,-3.182,-2.108,-7.143,-8.239,1.0771,0,1,74503,289
IMG_000051.JPG,2026-07-16T13:31:03Z,42.6398853,77.0738180,1615.30,7,1.28,1.519,309.82,0.583,-2.525,-0.650,6.521,-5.972,1.0254,0,1,74611,289
IMG_000052.JPG,2026-07-16T13:31:04Z,42.6398820,77.0738152,1615.30,7,1.28,1.167,309.82,0.970,-1.967,0.365,4.155,-5.148,1.0452,1,1,75775,289
IMG_000053.JPG,2026-07-16T13:31:06Z,42.6398823,77.0738003,1615.30,7,1.28,2.408,309.82,2.254,-1.332,0.319,2.178,-4.758,1.0461,0,1,71784,286
IMG_000054.JPG,2026-07-16T13:31:07Z,42.6398817,77.0737962,1615.30,7,1.28,1.722,309.82,2.170,-1.562,7.082,-6.074,-3.430,1.0589,0,1,71835,277
IMG_000055.JPG,2026-07-16T13:31:08Z,42.6398803,77.0737865,1615.20,7,1.28,2.093,309.82,1.677,-0.809,8.853,-3.036,-0.888,1.0240,0,1,73034,269
IMG_000056.JPG,2026-07-16T13:31:09Z,42.6398768,77.0737807,1615.30,7,1.28,1.833,309.82,2.439,-1.171,2.059,0.750,2.318,1.0165,0,1,73157,269
IMG_000057.JPG,2026-07-16T13:32:01Z,42.6398748,77.0737900,1612.10,7,1.27,1.445,97.37,-0.574,-1.430,4.159,-4.998,-7.575,1.0537,0,1,73250,278
IMG_000058.JPG,2026-07-16T13:32:03Z,42.6398717,77.0737833,1612.00,7,1.27,1.000,97.37,-2.688,-0.780,-5.864,0.308,-6.911,1.0377,0,1,73025,278
IMG_000059.JPG,2026-07-16T13:32:04Z,42.6398758,77.0737768,1612.00,7,1.27,1.278,97.37,-1.490,-1.223,4.182,0.895,-5.178,1.0389,1,1,73275,279
IMG_000060.JPG,2026-07-16T13:34:23Z,42.6399018,77.0737455,1611.60,7,1.27,0.315,46.89,-1.175,-1.430,0.701,-2.845,-7.233,1.0667,1,1,76902,294
IMG_000061.JPG,2026-07-16T13:34:24Z,42.6399030,77.0737458,1611.40,8,1.27,1.685,46.89,-0.192,-0.647,-2.391,-1.105,4.996,1.0416,1,1,77193,283
IMG_000062.JPG,2026-07-16T13:34:26Z,42.6399002,77.0737443,1611.30,8,1.27,2.593,81.18,0.132,-2.846,4.869,-3.028,1.691,1.0476,1,1,77001,283
IMG_000063.JPG,2026-07-16T13:34:27Z,42.6398985,77.0737493,1611.10,8,1.27,2.852,81.18,-0.364,-1.661,0.418,0.392,0.065,1.0381,1,1,76589,292
IMG_000064.JPG,2026-07-16T13:34:28Z,42.6398930,77.0737530,1611.10,8,1.27,1.796,81.18,-0.567,-1.055,2.174,-3.616,-1.386,1.0543,1,1,76788,295
IMG_000065.JPG,2026-07-16T13:34:29Z,42.6398873,77.0737548,1610.80,8,1.27,1.833,81.18,-0.919,-0.370,-4.147,-2.410,-0.928,1.0317,1,1,75112,293
IMG_000066.JPG,2026-07-16T13:34:30Z,42.6398838,77.0737515,1610.80,8,1.27,2.111,81.18,-0.478,-1.714,0.266,-0.021,-4.996,1.0424,1,1,74112,292
IMG_000067.JPG,2026-07-16T13:34:31Z,42.6398802,77.0737488,1610.70,8,1.27,2.908,81.18,-0.682,-0.939,-4.574,4.537,-1.470,1.0218,1,1,75103,293
IMG_000068.JPG,2026-07-16T13:34:33Z,42.6398682,77.0737495,1610.60,8,1.26,3.278,81.18,-0.448,-1.388,-6.299,-0.501,-2.660,1.0264,0,1,80711,311
IMG_000069.JPG,2026-07-16T13:34:34Z,42.6398630,77.0737462,1610.60,8,1.26,2.204,81.18,-0.748,-0.825,2.403,1.567,0.202,1.0238,1,1,85168,323
IMG_000070.JPG,2026-07-16T13:34:35Z,42.6398620,77.0737393,1610.60,8,1.26,0.519,81.18,-0.641,-0.409,-2.742,-0.952,-1.309,1.0226,1,1,86961,334
IMG_000071.JPG,2026-07-16T13:36:36Z,42.6398203,77.0737315,1612.60,8,1.04,0.278,51.61,-0.540,-1.827,6.823,-3.036,2.460,1.0438,0,1,70842,281
IMG_000072.JPG,2026-07-16T13:36:38Z,42.6398200,77.0737317,1612.60,8,1.04,0.407,51.61,-0.980,-1.786,-0.269,-5.105,-0.456,1.0611,1,1,70632,281
IMG_000073.JPG,2026-07-16T13:36:39Z,42.6398188,77.0737303,1612.60,8,1.04,1.352,51.61,-1.144,-0.574,-4.017,4.300,-0.052,1.0273,1,1,70614,273
IMG_000074.JPG,2026-07-16T13:36:40Z,42.6398162,77.0737280,1612.60,8,1.04,1.556,51.61,-0.683,-0.870,0.624,0.773,-0.578,1.0511,1,1,69638,271
IMG_000075.JPG,2026-07-16T13:36:41Z,42.6398130,77.0737247,1612.50,8,1.04,1.648,51.61,-0.052,-2.245,-0.597,5.689,-0.319,1.0547,0,1,69607,270
IMG_000076.JPG,2026-07-16T13:36:42Z,42.6398105,77.0737200,1612.40,8,1.04,1.741,51.61,-1.121,-2.005,-0.231,-3.685,-0.342,1.0669,0,1,69953,281
IMG_000077.JPG,2026-07-16T13:36:44Z,42.6398048,77.0737102,1612.50,8,1.04,1.759,51.61,-0.094,-1.693,1.556,-0.524,-0.555,1.0356,0,1,69144,272
IMG_000078.JPG,2026-07-16T13:36:45Z,42.6398015,77.0737063,1612.60,8,1.04,1.852,51.61,-0.529,-1.548,-0.223,-1.837,-0.227,1.0147,1,1,69366,261
IMG_000079.JPG,2026-07-16T13:36:46Z,42.6397983,77.0737020,1613.20,8,1.04,2.963,51.61,-1.818,-0.715,-2.032,3.483,1.696,1.0314,0,1,69472,270
IMG_000080.JPG,2026-07-16T13:36:47Z,42.6397962,77.0736957,1613.30,8,1.04,1.852,51.61,-0.822,-1.115,-0.307,7.644,2.422,1.0239,0,1,69561,273
IMG_000081.JPG,2026-07-16T13:36:48Z,42.6397938,77.0736903,1613.30,8,1.04,1.926,51.61,-0.997,0.049,-4.322,-1.921,5.635,1.0246,0,1,69071,263
IMG_000082.JPG,2026-07-16T13:36:50Z,42.6397860,77.0736850,1613.30,8,1.04,2.926,51.61,0.265,-0.981,2.067,-3.082,5.353,1.0787,1,1,68990,263
IMG_000083.JPG,2026-07-16T13:36:51Z,42.6397818,77.0736810,1613.50,8,1.04,2.574,51.61,0.237,-1.292,-7.009,8.033,2.849,1.0191,0,1,68850,271
IMG_000084.JPG,2026-07-16T13:36:52Z,42.6397792,77.0736737,1613.50,8,1.04,1.611,51.61,-0.367,-1.230,3.571,-7.753,2.086,1.1014,0,1,68911,273
