image,utc,latitude,longitude,altitude_m,satellites,hdop,speed_kmph,course_deg,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,total_acc_g,stable,level,jpeg_bytes,capture_ms,progress_m,sharpness_lap_var,contrast_std,dynamic_range_p1_p99,quality_score
IMG_000001.JPG,2026-07-17T03:41:25Z,42.6398862,77.0738157,1621.3,5,2.35,1.185,115.24,-0.712,3.135,-1.534,-5.389,-5.086,1.0514,1,1,109004,422,0.0,3.6132723005618033,49.50587028439148,152.0,0.7678102708209233
IMG_000002.JPG,2026-07-17T03:41:26Z,42.6398847,77.0738155,1621.3,5,2.35,0.667,115.24,-0.037,2.992,-3.763,3.267,-3.514,1.027,0,1,113169,459,0.06818175499488695,3.7679467578820227,39.09807028449084,167.0,0.7256150956080977
IMG_000003.JPG,2026-07-17T03:41:28Z,42.639879,77.073818,1621.0,5,2.35,1.185,115.24,-0.153,2.489,-3.747,1.328,1.593,1.052,1,1,104483,428,0.3129401749017977,2.7557361281101196,36.59297009414906,161.0,0.5663187990577647
IMG_000004.JPG,2026-07-17T03:41:28Z,42.639879,77.073818,1621.0,5,2.35,1.185,115.24,-0.112,1.626,2.81,0.115,-2.949,1.0485,1,1,108199,447,0.3129401749017977,3.467095450954661,45.84673148333255,158.0,0.7513600281198289
IMG_000005.JPG,2026-07-17T03:41:29Z,42.6398767,77.073819,1621.0,5,2.35,1.056,115.24,-0.546,3.719,5.779,5.115,-3.079,1.0658,0,1,106391,413,0.41174090911955447,3.250677198463716,37.73893547846282,160.0,0.620667620691971
IMG_000006.JPG,2026-07-17T03:41:30Z,42.6398747,77.0738185,1621.1,5,2.35,0.907,115.24,-0.661,-0.739,-9.045,7.573,-9.407,1.0417,0,1,98936,389,0.5036757417267637,2.525834688720769,20.315677888276607,99.0,0.26693027041968315
IMG_000007.JPG,2026-07-17T03:41:31Z,42.6398745,77.0738158,1621.1,5,2.34,0.444,115.24,-2.56,4.01,1.352,4.076,-0.483,1.0284,0,1,96155,407,0.5245196734948334,2.8533203224448864,16.51369720886359,73.0,0.26810168795928124
IMG_000008.JPG,2026-07-17T03:41:33Z,42.6398728,77.0738078,1621.1,5,2.34,0.648,115.24,-0.209,1.475,5.81,-4.458,-8.521,1.0828,0,1,92296,373,0.6099446859264386,2.529927139047676,29.36242569871437,107.0,0.34231571346592754
IMG_000009.JPG,2026-07-17T03:41:34Z,42.639872,77.0738058,1621.1,5,2.34,0.704,115.24,-2.173,1.748,-16.702,14.168,-6.269,1.0116,0,1,85997,367,0.6099446859264386,1.829524493896609,14.797669444172964,62.0,0.06156660856709656
IMG_000010.JPG,2026-07-17T03:41:51Z,42.6398627,77.0737907,1621.2,5,2.33,0.426,115.24,0.513,1.42,-7.931,-1.939,2.479,1.0541,0,1,115064,471,0.6099446859264386,4.337898276541731,45.46354634408039,173.0,0.8375389910864663
IMG_000011.JPG,2026-07-17T03:41:52Z,42.6398628,77.0737903,1621.2,5,2.33,0.259,115.24,-0.964,0.982,-0.175,-1.145,0.647,1.047,1,1,114668,462,0.6099446859264386,4.134109760974505,35.33785550891909,144.0,0.7848512768531157
IMG_000012.JPG,2026-07-17T03:41:53Z,42.6398633,77.0737912,1621.1,5,2.32,0.537,115.24,0.566,3.497,-1.992,5.756,-0.735,1.0341,0,1,118554,448,0.6099446859264386,4.970919806222162,42.80936826965457,162.0,0.9127239016840694
IMG_000013.JPG,2026-07-17T03:41:54Z,42.639864,77.0737923,1620.9,5,2.32,0.667,115.24,0.379,-0.183,-0.373,-5.382,4.837,1.067,0,1,113994,434,0.6099446859264386,4.153637662666134,43.287222487716164,152.0,0.7898471571699966
IMG_000014.JPG,2026-07-17T03:41:55Z,42.6398635,77.0737935,1620.8,5,2.32,0.556,115.24,0.411,3.582,-2.686,5.947,-3.659,1.0135,0,1,111109,465,0.6099446859264386,4.128438992432213,40.21594001533628,164.0,0.7852710762893484
IMG_000015.JPG,2026-07-17T03:42:28Z,42.6398817,77.073793,1620.0,5,2.29,0.611,115.24,-3.608,1.683,-0.221,-0.939,-13.636,0.9993,0,1,108960,445,0.6099446859264386,4.315740580014065,38.149073726320644,149.0,0.775237786548443
IMG_000016.JPG,2026-07-17T03:42:29Z,42.6398783,77.0737938,1620.0,5,2.29,0.241,115.24,-0.772,2.061,-5.595,5.954,2.066,1.0393,0,1,108577,419,0.6099446859264386,3.820717239995867,35.05500878508247,137.0,0.6620068062733108
IMG_000017.JPG,2026-07-17T03:42:30Z,42.6398785,77.0737943,1620.0,5,2.29,0.315,115.24,-0.494,1.289,-2.938,-5.947,1.295,1.0158,0,1,105339,436,0.6099446859264386,3.771282654269886,32.689426693860405,122.0,0.6151195178820948
IMG_000018.JPG,2026-07-17T03:42:31Z,42.6398822,77.0737927,1620.1,5,2.29,0.482,115.24,-0.209,2.034,5.856,0.809,-4.575,1.0255,0,1,115448,479,0.6099446859264386,4.527639584795312,42.17584745950134,169.0,0.858225321578966
IMG_000019.JPG,2026-07-17T03:42:32Z,42.6398815,77.0737952,1620.3,5,2.29,0.519,115.24,-0.014,2.175,-1.984,-4.282,-4.979,1.0429,1,1,108880,423,0.6099446859264386,3.7772568370663273,37.111289674027276,150.0,0.7490538245962728
IMG_000020.JPG,2026-07-17T03:42:33Z,42.6398822,77.073792,1620.3,5,2.29,0.63,115.24,-0.16,1.563,0.955,-3.634,-0.567,1.0678,1,1,121211,488,0.6099446859264386,5.034345108996722,32.864621079885126,142.0,0.8845314786700565
IMG_000021.JPG,2026-07-17T03:42:34Z,42.6398838,77.0737875,1620.4,5,2.29,0.426,115.24,-0.331,1.405,-5.19,5.053,-2.056,1.0026,1,1,107795,474,0.6099446859264386,3.664722765704843,50.43003915364884,146.0,0.7669725627025983
IMG_000022.JPG,2026-07-17T03:42:36Z,42.6398817,77.0737865,1620.6,5,2.29,0.982,115.24,-0.969,2.006,-3.045,2.664,-4.254,1.0177,1,1,107949,424,0.6099446859264386,3.5942533176042297,51.078364322789746,167.0,0.7874941213063469
IMG_000023.JPG,2026-07-17T03:42:37Z,42.639882,77.0737835,1620.6,5,2.29,0.907,115.24,-1.281,5.591,1.802,5.321,-1.147,1.0342,0,1,108759,437,0.6099446859264386,3.97321979367948,39.95668252260268,168.0,0.7632930980116406
IMG_000024.JPG,2026-07-17T03:42:40Z,42.6398802,77.0737798,1620.6,5,2.28,0.704,115.24,0.908,1.5,-2.022,15.802,3.685,1.0293,0,1,116826,477,0.6099446859264386,4.838460426653704,30.04019604048238,130.0,0.7611294690224544
IMG_000025.JPG,2026-07-17T03:42:43Z,42.639876,77.0737725,1620.6,5,2.28,2.037,115.24,0.425,1.869,5.474,-2.069,11.608,1.0388,0,1,109403,447,0.6412151567855541,3.6474436113847317,33.88930711860627,157.0,0.6568175854819264
IMG_000026.JPG,2026-07-17T03:42:43Z,42.639876,77.0737725,1620.6,5,2.28,2.037,115.24,0.121,4.691,5.695,1.954,5.853,1.0582,0,1,108450,421,0.6412151567855541,3.452858002640762,24.97439662741456,136.0,0.5312098726732415
IMG_000027.JPG,2026-07-17T03:42:44Z,42.6398767,77.0737697,1620.6,5,2.28,0.852,115.24,-0.186,4.325,0.596,5.504,3.204,1.0484,0,1,107698,471,0.6412151567855541,3.6530747466724183,34.201729606627055,146.0,0.6431487331349485
IMG_000028.JPG,2026-07-17T03:42:45Z,42.6398755,77.0737678,1620.7,5,2.28,0.778,115.24,0.108,0.583,-1.236,-5.031,-4.689,1.0715,0,1,117744,473,0.6906783463721842,4.529241901838531,40.55495398459116,146.0,0.8169244189815553
IMG_000029.JPG,2026-07-17T03:42:47Z,42.639872,77.0737618,1620.6,5,2.28,0.593,115.24,0.068,1.776,1.756,2.328,8.105,1.0282,1,1,115811,474,0.8740958311414918,4.778174028417199,38.011031032224444,147.0,0.9066276562794467
IMG_000030.JPG,2026-07-17T03:42:48Z,42.6398688,77.0737598,1620.6,5,2.28,0.945,115.24,0.762,0.285,-3.656,-4.603,2.807,1.0408,0,1,105820,415,1.026467237677269,3.3583373433021295,25.011100699972626,131.0,0.5076896350292621
IMG_000031.JPG,2026-07-17T03:42:49Z,42.6398687,77.0737572,1620.5,5,2.28,0.963,115.24,0.122,-0.404,-1.289,-4.542,-1.506,1.0217,0,1,111271,1111,1.042384698120472,3.7936181280825116,39.39980772610538,151.0,0.7089971616825712
IMG_000032.JPG,2026-07-17T03:42:50Z,42.6398665,77.0737562,1620.5,5,2.27,0.741,115.24,-0.307,2.931,-5.816,-4.573,-0.811,1.0229,0,1,121163,488,1.1454913921140997,5.423470537097012,32.45861695612918,139.0,0.8064073209752671
IMG_000033.JPG,2026-07-17T03:42:51Z,42.6398627,77.0737567,1620.5,5,2.27,0.796,115.24,-0.426,0.793,0.23,-4.855,-0.911,1.0615,0,1,116494,476,1.3137928000009507,4.926192218340986,31.665044938582117,149.0,0.8124690539085687
IMG_000034.JPG,2026-07-17T03:42:52Z,42.6398602,77.073754,1620.5,5,2.27,0.982,115.24,-0.187,-0.059,-2.885,-4.718,-3.132,1.0592,0,1,112705,442,1.437833861671596,4.242433976160302,28.898753130078493,119.0,0.65539179372196
IMG_000035.JPG,2026-07-17T03:42:53Z,42.639857,77.0737547,1620.5,5,2.27,1.037,115.24,-0.446,2.469,-2.847,-10.634,5.448,1.0342,0,1,107159,448,1.57833500033336,3.5103052310502543,35.73302514512715,141.0,0.6226127988075851
IMG_000036.JPG,2026-07-17T03:42:54Z,42.6398548,77.0737548,1620.5,5,2.27,1.074,115.24,-0.328,0.259,1.795,-4.916,3.593,1.0658,0,1,107343,463,1.6766056587861162,3.682105324016026,26.13002264854837,111.0,0.53896803411082
IMG_000037.JPG,2026-07-17T03:42:55Z,42.6398523,77.0737527,1620.6,5,2.27,1.259,115.24,0.597,0.48,-3.671,-4.969,2.059,1.0519,0,1,111613,445,1.7204699352856272,4.396928514016926,19.105130229534407,92.0,0.5687139546360257
IMG_000038.JPG,2026-07-17T03:42:56Z,42.6398557,77.0737507,1620.6,5,2.27,0.722,115.24,-0.946,3.071,-0.312,5.458,2.868,1.0259,0,1,115428,478,1.7204699352856272,4.623768009316882,28.266341561692972,125.0,0.7130693558655884
IMG_000039.JPG,2026-07-17T03:42:57Z,42.6398543,77.0737525,1620.7,5,2.27,0.815,115.24,-0.287,3.3,4.077,-2.405,-0.873,1.0384,0,1,111056,446,1.7204699352856272,4.368942501005931,23.530934164637458,112.0,0.6257204439768417
IMG_000040.JPG,2026-07-17T03:42:58Z,42.6398535,77.0737553,1620.8,5,2.27,0.87,115.24,0.292,1.458,-2.801,-5.595,-2.521,1.0302,0,1,110715,466,1.7327362735764287,3.9864833182136947,33.21143272432572,139.0,0.6778197961054844
